Episode,Reward,Success,Steps,Wall_Hits,Penalty_Hits
232,-477,1,260,16,4
233,-350,1,286,12,3
234,-934,0,500,44,2
235,-1985,0,500,108,27
236,-846,1,433,39,6
237,-947,0,500,37,6
238,-833,0,500,37,0
239,-301,1,231,19,0
240,-900,0,500,36,4
241,-1087,0,500,42,11
242,-1114,0,500,38,4
243,-431,1,213,17,1
244,-670,1,460,24,5
245,-145,1,156,10,0
246,-621,1,278,14,9
247,-785,0,500,19,6
248,-1055,0,500,36,7
249,-189,1,180,8,2
250,-335,1,319,13,0
251,-986,0,500,54,0
252,-1127,0,500,31,8
253,-948,0,500,35,7
254,-972,0,500,44,4
255,-733,1,454,22,7
256,-900,0,500,36,4
257,-781,0,500,27,2
258,-788,0,500,32,0
259,-536,1,447,19,1
260,-883,0,500,32,5
261,-871,0,500,18,11
262,-860,0,500,40,0
263,-2010,0,500,134,16
264,-1037,0,500,47,6
265,-848,1,398,38,11
266,-975,0,500,38,7
267,-850,0,500,28,0
268,-434,1,327,21,1
269,-789,0,500,30,1
270,-1009,0,500,46,5
271,-278,1,214,12,3
272,-397,1,289,19,2
273,-337,1,263,11,4
274,-791,0,500,26,3
275,-226,1,189,9,3
276,-150,1,167,3,3
277,-881,0,500,36,3
278,-260,1,205,11,3
279,-259,1,241,9,2
280,-847,0,500,28,5
281,-1665,0,500,121,4
282,-816,0,500,33,1
283,-964,0,500,41,5
284,-660,1,470,26,3
285,-827,0,500,30,3
286,-681,1,409,33,4
287,-826,0,500,32,2
288,-213,1,213,7,2
289,-589,1,375,35,0
290,-563,1,399,21,4
291,-402,1,261,13,4
292,-227,1,159,7,3
293,-815,0,500,35,0
294,-896,0,500,25,9
295,9,1,65,3,0
296,-469,1,350,16,4
297,-872,1,478,36,9
298,-43,1,108,4,0
299,-314,1,191,11,4
300,-291,1,207,10,5
