Episode,Reward,Success,Steps,Wall_Hits,Penalty_Hits
233,-1022,0,500,39,9
234,-204,1,196,10,1
235,-1084,0,500,35,9
236,-417,1,297,17,1
237,-340,1,248,16,0
238,-274,1,230,14,1
239,-389,1,391,11,0
240,-360,1,286,14,0
241,-700,0,500,18,2
242,-1196,0,500,55,8
243,-487,1,359,17,4
244,-313,1,295,9,2
245,-92,1,102,8,1
246,-813,0,500,20,7
247,-702,1,488,22,1
248,-870,0,500,23,6
249,-809,0,500,28,3
250,-167,1,167,7,2
251,-559,1,433,21,2
252,-392,1,366,12,1
253,-560,1,367,23,2
254,-930,0,500,36,3
255,-550,1,412,16,5
256,-275,1,268,12,0
257,-550,1,416,24,1
258,-391,1,263,17,4
259,-712,0,500,13,5
260,-204,1,178,12,1
261,-519,1,309,27,1
262,-805,0,500,20,4
263,-818,0,500,29,3
264,-458,1,369,19,1
265,-872,0,500,35,3
266,-614,1,462,26,1
267,-163,1,165,11,0
268,-770,0,500,17,1
269,-651,1,421,25,3
270,-485,1,356,18,1
271,-800,0,500,27,3
272,-725,1,425,37,1
273,-816,0,500,33,1
274,-523,1,334,28,2
275,-992,0,500,29,7
276,-806,0,500,34,0
277,-432,1,341,15,3
278,-363,1,261,15,1
279,-750,0,500,16,3
280,-471,1,446,14,0
281,-923,0,500,34,1
282,-939,0,500,24,4
283,-502,1,350,26,1
284,-1078,0,500,28,12
285,-625,1,454,26,2
286,-284,1,258,12,1
287,-183,1,221,7,0
288,-593,1,478,24,0
289,-686,1,460,30,3
290,-685,1,500,17,7
291,-508,1,399,17,3
292,-240,1,247,5,0
293,-315,1,324,6,2
294,-795,0,500,21,3
295,-111,1,176,4,0
296,-552,1,364,30,1
297,-960,0,500,49,1
298,-218,1,237,7,1
299,-811,0,500,24,5
300,-772,0,500,26,2
