Episode,Sparse_Rewards,Shaped_Rewards,Sparse_Steps,Shaped_Steps
76,-537.0,-346.8999999999998,287,444
77,-66.0,-39.60000000000002,111,157
78,-940.0,-46.799999999999926,500,208
79,-1155.0,-66.10000000000002,500,312
80,-1165.0,22.400000000000006,500,266
81,-1015.0,-143.00000000000014,500,267
82,-1110.0,-114.90000000000012,500,214
83,-955.0,13.39999999999992,500,223
84,-1005.0,-85.39999999999995,500,218
85,-1095.0,-39.49999999999994,500,242
86,-1185.0,-165.00000000000023,500,346
87,-1005.0,12.899999999999977,500,131
88,-1045.0,-36.80000000000001,500,212
89,-870.0,-398.4999999999999,500,500
90,-870.0,-9.300000000000026,500,199
91,-1080.0,-124.59999999999971,500,261
92,-1055.0,-124.79999999999995,500,225
93,-1005.0,-7.600000000000051,500,164
94,-935.0,-55.800000000000125,500,248
95,-418.0,15.399999999999935,253,165
96,-1010.0,11.899999999999949,500,129
97,-877.0,-74.20000000000005,467,258
98,-900.0,-57.700000000000244,500,169
99,-985.0,7.299999999999926,500,152
100,-1015.0,-290.7999999999997,500,338
101,-1035.0,-5.599999999999966,500,156
102,-875.0,-146.59999999999994,500,293
103,-1135.0,-218.20000000000022,500,251
104,-950.0,21.19999999999996,500,88
105,-990.0,71.29999999999995,500,139
106,-1010.0,-46.799999999999926,500,246
107,-975.0,-73.60000000000042,500,260
108,-995.0,-269.90000000000094,500,480
109,-910.0,12.899999999999906,500,237
110,-550.0,3.2999999999999687,380,227
111,-910.0,-292.49999999999994,500,403
112,-820.0,-2.1000000000000796,500,187
113,-820.0,-34.200000000000074,500,187
114,-830.0,-379.60000000000053,500,500
115,-870.0,-78.40000000000038,500,289
116,-925.0,-282.90000000000055,500,500
117,-704.0,36.89999999999997,454,121
118,-985.0,-60.80000000000007,500,296
119,-980.0,-27.500000000000057,500,222
120,-770.0,-125.60000000000036,500,316
121,-1005.0,23.49999999999993,500,164
122,-361.0,-139.5000000000003,276,299
123,-970.0,-35.5000000000002,500,284
124,-1015.0,-1.600000000000108,500,189
125,-890.0,7.599999999999952,500,193
126,-950.0,17.700000000000017,500,186
127,-935.0,35.79999999999991,500,195
128,-930.0,8.799999999999912,500,176
129,-830.0,96.19999999999997,500,110
130,-790.0,-5.0000000000001705,500,299
131,-810.0,58.89999999999992,500,207
132,-855.0,-107.60000000000005,500,176
133,-581.0,23.999999999999986,356,143
134,-960.0,88.09999999999998,500,81
135,-566.0,23.19999999999996,401,179
136,-965.0,17.999999999999872,500,168
137,-1000.0,-142.00000000000085,500,438
138,-845.0,-245.40000000000003,500,400
139,-785.0,-37.700000000000045,500,256
140,-820.0,72.29999999999997,500,109
141,-750.0,59.799999999999976,495,99
142,-276.0,1.8999999999999204,216,183
143,-810.0,-68.6000000000003,500,367
144,-850.0,-54.60000000000011,500,339
145,-785.0,71.9999999999999,500,179
146,-905.0,-68.90000000000026,500,298
147,-1065.0,-76.40000000000015,500,291
148,-745.0,-99.69999999999999,500,171
149,-232.0,-195.90000000000032,247,457
150,-900.0,-19.80000000000021,500,417
151,-472.0,-8.500000000000142,252,350
152,-940.0,-9.50000000000017,500,253
153,-825.0,131.39999999999995,500,133
154,-820.0,103.89999999999996,500,136
155,-400.0,93.29999999999991,335,169
156,-344.0,22.399999999999935,259,170
157,-855.0,-85.10000000000002,500,324
158,-905.0,81.39999999999995,500,130
159,-740.0,75.19999999999999,500,102
160,-875.0,-64.30000000000018,500,319
161,-970.0,-46.80000000000007,500,240
162,-800.0,-49.10000000000019,500,283
163,-404.0,61.79999999999998,284,182
164,-860.0,9.099999999999923,500,204
165,-935.0,-96.70000000000033,500,356
166,-835.0,-79.30000000000015,500,229
167,-900.0,130.99999999999994,475,149
168,-940.0,-9.70000000000033,500,358
169,-710.0,-20.5,500,240
170,-795.0,-52.30000000000001,500,253
171,-715.0,106.79999999999998,500,88
172,-895.0,64.09999999999985,500,328
173,-303.0,42.79999999999994,308,207
174,-745.0,-76.9000000000004,500,489
175,-725.0,-20.0,500,138
176,-270.0,29.299999999999983,215,194
177,-920.0,-67.40000000000057,500,480
178,-760.0,42.0,500,165
179,-845.0,120.69999999999996,500,131
180,-850.0,59.49999999999989,500,248
181,-735.0,-170.4000000000005,500,500
182,-780.0,36.199999999999925,500,383
183,-730.0,125.49999999999997,500,100
184,-785.0,75.39999999999998,500,145
185,-370.0,105.89999999999992,250,193
186,-745.0,136.89999999999995,500,247
187,-835.0,67.39999999999989,500,212
188,-142.0,-139.8000000000007,157,500
189,-735.0,-240.10000000000156,500,500
190,-815.0,69.79999999999995,500,171
191,-760.0,-210.60000000000124,500,500
192,-690.0,-22.700000000000415,500,373
193,-705.0,74.09999999999997,500,121
194,-860.0,-239.60000000000076,500,500
195,-234.0,25.9999999999999,234,207
196,-90.0,102.39999999999989,145,240
197,-322.0,80.59999999999998,282,94
198,-665.0,83.19999999999996,500,107
199,-750.0,100.29999999999995,500,143
200,-775.0,92.79999999999993,500,152
201,-394.0,100.69999999999993,344,119
202,-585.0,128.19999999999993,425,125
203,-700.0,88.59999999999994,500,246
204,-750.0,40.499999999999886,500,262
205,-94.0,-51.400000000000176,114,399
206,-745.0,10.599999999999895,500,320
207,-815.0,-10.000000000000185,500,358
208,-685.0,67.19999999999996,500,124
209,-755.0,-34.10000000000022,500,221
210,-700.0,115.09999999999998,500,110
211,-860.0,95.79999999999997,500,137
212,-497.0,-56.40000000000089,392,409
213,-800.0,40.19999999999995,500,104
214,-875.0,30.099999999999852,500,242
215,-720.0,86.79999999999995,500,190
216,-570.0,49.39999999999985,490,323
217,-527.0,66.89999999999992,397,188
218,-755.0,40.999999999999936,500,306
219,-835.0,35.29999999999974,500,467
220,-715.0,119.49999999999994,500,155
221,-690.0,-205.30000000000035,500,500
222,-710.0,72.7999999999998,500,419
223,-506.0,110.09999999999995,401,119
224,-770.0,-289.3999999999999,500,500
225,-605.0,127.29999999999998,475,94
226,-735.0,21.299999999999784,500,484
227,-735.0,131.89999999999992,500,197
228,-685.0,122.2999999999999,500,181
229,-314.0,-101.20000000000032,264,500
230,-775.0,54.19999999999991,500,243
231,-735.0,66.59999999999984,500,382
232,-825.0,75.0999999999998,500,381
233,-830.0,138.69999999999993,500,115
234,-670.0,95.69999999999995,460,132
235,-705.0,103.99999999999994,500,204
236,-810.0,93.89999999999996,500,160
237,-805.0,111.79999999999997,500,92
238,-785.0,102.79999999999991,500,180
239,-655.0,73.09999999999991,500,285
240,-685.0,79.99999999999989,500,466
241,-700.0,70.39999999999992,500,259
242,-725.0,124.29999999999994,500,104
243,-426.0,-51.40000000000014,381,500
244,-510.0,115.09999999999995,425,128
245,-700.0,72.19999999999993,500,276
246,-148.0,139.19999999999996,203,80
247,-735.0,115.09999999999992,500,180
248,-770.0,56.69999999999984,500,396
249,-685.0,14.79999999999967,500,318
250,-695.0,-53.20000000000027,500,301
251,-635.0,67.49999999999987,500,309
252,-750.0,59.89999999999994,500,162
253,-845.0,109.69999999999993,500,187
254,-427.0,56.39999999999987,437,304
255,-655.0,33.19999999999969,500,426
256,-186.0,29.399999999999835,201,489
257,-865.0,82.19999999999999,500,137
258,-745.0,130.99999999999997,500,168
259,-810.0,-125.90000000000026,500,500
260,-715.0,83.09999999999988,500,350
261,-685.0,93.89999999999986,500,288
262,-720.0,79.49999999999994,500,135
263,-434.0,-287.50000000000034,359,481
264,-800.0,112.79999999999997,500,95
265,-745.0,68.79999999999988,500,240
266,-755.0,-28.50000000000032,500,500
267,-655.0,75.29999999999995,500,129
268,-730.0,-16.000000000000234,500,500
269,-400.0,80.69999999999987,340,281
270,-765.0,76.79999999999991,500,206
271,-635.0,127.99999999999986,500,218
272,-675.0,114.69999999999993,500,149
273,-715.0,129.89999999999986,500,425
274,-120.0,152.09999999999982,140,307
275,-715.0,47.39999999999982,500,387
276,-124.0,151.49999999999994,159,189
277,-456.0,133.79999999999995,316,126
278,-885.0,-104.10000000000029,500,500
279,-880.0,119.69999999999992,500,181
280,-30.0,149.79999999999993,95,133
281,-655.0,87.19999999999992,500,160
282,-790.0,143.5999999999999,500,204
283,-181.0,94.0999999999999,196,203
284,-715.0,109.19999999999995,500,105
285,-354.0,39.99999999999995,379,192
286,-398.0,70.39999999999975,353,369
287,-725.0,111.49999999999986,500,286
288,-750.0,105.7999999999999,500,201
289,-650.0,21.49999999999993,500,346
290,-600.0,120.69999999999976,500,473
291,-318.0,129.29999999999995,333,64
292,-162.0,133.59999999999994,222,211
293,-500.0,57.59999999999991,425,193
294,-540.0,77.1999999999999,420,200
295,-800.0,88.39999999999992,435,196
296,-745.0,136.09999999999997,500,143
297,-820.0,-7.900000000000208,500,500
298,-675.0,18.99999999999981,500,500
299,-800.0,85.99999999999973,500,473
300,-174.0,-8.700000000000145,244,422
301,-211.0,-58.80000000000028,231,500
302,-121.0,120.29999999999995,171,97
303,-430.0,118.59999999999992,360,168
304,-695.0,91.89999999999976,500,455
305,-660.0,19.799999999999713,500,500
306,-600.0,1.2999999999998977,460,361
307,-381.0,-31.10000000000022,371,500
308,-585.0,14.799999999999756,500,392
309,-680.0,93.99999999999996,500,118
310,-560.0,21.099999999999714,500,500
311,-845.0,-12.20000000000032,500,500
312,-92.0,118.19999999999985,177,359
313,-645.0,118.99999999999993,500,136
314,-720.0,137.7,500,84
315,-399.0,49.09999999999976,409,500
316,-142.0,151.09999999999997,217,208
317,-665.0,84.89999999999966,500,485
318,-710.0,116.09999999999992,500,149
319,-670.0,-8.800000000000201,500,500
320,-595.0,120.09999999999994,500,237
321,-44.0,134.5999999999999,109,299
322,-660.0,67.5999999999998,500,396
323,-640.0,42.9999999999997,500,500
324,-660.0,130.79999999999987,500,259
325,-512.0,41.09999999999972,362,500
326,-645.0,138.49999999999994,500,95
327,-625.0,36.3999999999998,500,500
328,-303.0,146.59999999999985,313,319
329,-144.0,31.799999999999883,159,244
330,-730.0,-18.600000000000293,500,500
331,-367.0,139.49999999999974,377,488
332,-635.0,19.7999999999998,500,500
333,-865.0,151.29999999999995,500,75
334,-188.0,-3.500000000000302,193,500
335,-584.0,129.2999999999998,459,365
336,-46.0,111.1999999999999,141,186
337,-795.0,166.9999999999999,500,226
338,-26.0,109.9999999999999,96,204
339,-800.0,158.99999999999997,500,76
340,-765.0,60.29999999999991,500,238
341,-251.0,127.89999999999992,281,147
342,-254.0,145.99999999999994,269,163
343,-810.0,83.59999999999988,500,280
344,-695.0,86.69999999999986,500,295
345,-635.0,139.79999999999995,500,108
346,-190.0,139.19999999999996,210,143
347,-168.0,69.29999999999977,253,333
348,-695.0,126.09999999999995,500,93
349,-670.0,118.89999999999979,500,441
350,-615.0,129.2,500,87
351,-720.0,161.8999999999997,500,481
352,-655.0,113.29999999999991,500,194
353,-170.0,62.29999999999979,245,500
354,-740.0,58.09999999999962,500,500
355,-620.0,156.99999999999997,500,62
356,-336.0,111.99999999999996,306,114
357,-304.0,119.79999999999986,264,219
358,-602.0,136.89999999999995,477,143
359,-635.0,135.2999999999999,500,220
360,-104.0,23.499999999999844,204,281
361,-82.0,143.5999999999999,157,196
362,-650.0,96.1999999999995,500,500
363,-670.0,165.59999999999985,500,180
364,-328.0,104.09999999999974,298,393
365,-660.0,157.7999999999999,500,262
366,-332.0,127.99999999999991,322,166
367,-214.0,172.39999999999978,229,269
368,-538.0,118.49999999999969,493,471
369,-620.0,130.09999999999985,500,288
370,-635.0,138.89999999999998,500,96
371,-680.0,154.09999999999977,500,396
372,-610.0,106.49999999999973,500,497
373,-200.0,97.69999999999995,200,158
374,-775.0,17.399999999999675,500,500
375,-625.0,151.39999999999995,500,115
376,-690.0,143.1999999999998,500,331
377,-775.0,146.99999999999994,500,152
378,-635.0,146.8999999999998,500,348
379,-214.0,127.39999999999985,219,288
380,-356.0,162.09999999999985,341,276
381,-695.0,26.49999999999966,500,500
382,-640.0,135.59999999999994,500,179
383,-208.0,160.69999999999996,208,59
384,-364.0,48.59999999999961,339,500
385,-845.0,121.19999999999992,500,167
386,-422.0,147.4999999999998,312,373
387,-540.0,120.59999999999985,500,264
388,-374.0,52.899999999999714,314,500
389,-690.0,127.8999999999999,500,182
390,-166.0,126.7999999999998,216,326
391,-660.0,99.69999999999992,500,152
392,-655.0,37.89999999999969,500,500
393,-635.0,111.59999999999992,500,181
394,-640.0,139.59999999999997,500,52
395,-835.0,111.69999999999997,500,172
396,-610.0,146.99999999999977,500,388
397,-428.0,121.69999999999992,383,176
398,-695.0,-23.60000000000029,500,500
399,-615.0,141.79999999999984,500,320
400,-501.0,126.49999999999983,431,330
401,-286.0,173.69999999999968,261,388
402,-480.0,151.6,340,54
403,34.0,85.09999999999955,71,500
404,-730.0,57.09999999999972,500,500
405,-20.0,178.49999999999955,145,441
406,-174.0,130.3999999999999,199,224
407,-86.0,166.3999999999998,166,279
408,-112.0,113.29999999999994,152,136
409,-635.0,55.599999999999646,500,500
410,-152.0,150.19999999999968,227,477
411,-580.0,148.3999999999998,500,283
412,-635.0,129.39999999999986,500,209
413,-545.0,78.59999999999961,490,500
414,-350.0,139.59999999999997,380,76
415,-338.0,154.49999999999994,323,174
416,-178.0,129.09999999999982,223,316
417,-504.0,33.69999999999964,384,500
418,48.0,163.4999999999997,77,482
419,-700.0,137.8999999999998,500,382
420,-735.0,43.99999999999982,500,500
421,-450.0,154.89999999999992,485,188
422,-725.0,-0.6000000000002812,500,500
423,-725.0,73.49999999999994,500,116
424,-220.0,130.79999999999984,200,248
425,-482.0,148.79999999999998,457,194
426,-640.0,126.29999999999978,500,412
427,22.0,144.19999999999985,113,300
428,-428.0,153.89999999999992,388,186
429,-650.0,111.09999999999988,500,228
430,-620.0,24.799999999999635,500,500
431,-78.0,124.7999999999999,183,177
432,-645.0,68.29999999999963,500,500
433,-102.0,111.49999999999945,172,500
434,-755.0,122.29999999999986,500,235
435,-740.0,58.99999999999962,500,500
436,-82.0,126.09999999999984,132,236
437,-498.0,152.2999999999999,453,216
438,-364.0,106.49999999999994,369,161
439,-57.0,150.8999999999998,112,334
440,28.0,143.5999999999999,97,204
441,-830.0,2.8999999999997357,500,500
442,-670.0,161.89999999999984,500,292
443,-640.0,-17.300000000000317,500,500
444,-30.0,82.0999999999995,115,500
445,-595.0,132.49999999999974,500,397
446,-660.0,142.49999999999991,500,211
447,-625.0,143.79999999999995,500,148
448,-30.0,175.79999999999978,135,321
449,26.0,102.2999999999999,89,208
450,-630.0,141.4,500,60
451,-248.0,145.1999999999998,273,380
452,-645.0,107.59999999999943,500,500
453,-114.0,149.1999999999999,194,222
454,-164.0,163.2999999999997,184,310
455,-78.0,158.29999999999973,188,368
456,-224.0,147.99999999999991,299,156
457,-123.0,158.59999999999982,213,332
458,-328.0,147.59999999999994,283,162
459,-134.0,85.89999999999954,224,500
460,-645.0,-22.80000000000032,500,500
461,-615.0,141.49999999999997,500,104
462,-785.0,125.09999999999968,500,499
463,-610.0,101.49999999999949,500,500
464,-605.0,137.49999999999997,500,118
465,-10.0,152.19999999999987,125,200
466,-625.0,102.19999999999952,500,500
467,-32.0,154.39999999999978,97,292
468,-640.0,10.999999999999703,500,500
469,-4.0,13.099999999999744,144,500
470,-590.0,134.6999999999998,500,399
471,-356.0,129.0999999999999,361,172
472,-100.0,120.39999999999998,140,60
473,-226.0,129.99999999999974,236,416
474,-615.0,155.09999999999997,500,61
475,-216.0,126.29999999999994,261,190
476,-725.0,152.3999999999999,500,169
477,-180.0,190.49999999999966,195,377
478,-670.0,132.19999999999993,500,115
479,-284.0,151.69999999999996,244,130
480,-640.0,192.39999999999978,500,252
481,-74.0,11.299999999999676,179,500
482,-755.0,153.4999999999997,500,422
483,46.0,155.49999999999972,79,488
484,-135.0,87.09999999999957,220,500
485,-580.0,153.39999999999995,500,135
486,-636.0,142.3999999999997,491,403
487,26.0,110.59999999999991,79,219
488,-290.0,142.69999999999993,295,161
489,-420.0,162.19999999999985,405,268
490,-368.0,185.89999999999975,383,245
491,-120.0,150.7999999999999,235,210
492,-164.0,106.29999999999993,199,184
493,-102.0,30.19999999999984,152,500
494,-630.0,172.09999999999985,500,198
495,-715.0,141.3999999999999,500,240
496,-675.0,154.39999999999992,500,123
497,-451.0,153.8999999999999,331,264
498,-30.0,146.89999999999995,140,156
499,-210.0,147.49999999999994,265,115
500,-595.0,143.59999999999985,500,218
