Episode,Rewards,Steps,Success
291,-630.0,500,0
292,-36.0,166,1
293,-750.0,500,0
294,-536.0,471,1
295,-655.0,500,0
296,-720.0,500,0
297,-106.0,181,1
298,12.0,93,1
299,-154.0,204,1
300,-735.0,500,0
301,-538.0,478,1
302,-30.0,140,1
303,-118.0,203,1
304,-114.0,209,1
305,-670.0,500,0
306,36.0,84,1
307,-670.0,500,0
308,-760.0,500,0
309,-232.0,277,1
310,-645.0,500,0
311,-152.0,217,1
312,-8.0,118,1
313,-220.0,260,1
314,2.0,103,1
315,26.0,89,1
316,-14.0,129,1
317,-590.0,500,0
318,14.0,116,1
319,-207.0,277,1
320,-620.0,500,0
321,-252.0,292,1
322,42.0,73,1
323,-264.0,324,1
324,-262.0,297,1
325,-34.0,124,1
326,-52.0,137,1
327,-132.0,182,1
328,-218.0,253,1
329,-685.0,500,0
330,-695.0,500,0
331,-456.0,441,1
332,-675.0,500,0
333,-580.0,500,0
334,42.0,93,1
335,-387.0,387,1
336,14.0,111,1
337,10.0,105,1
338,-72.0,177,1
339,22.0,88,1
340,-294.0,339,1
341,44.0,86,1
342,-36.0,131,1
343,-36.0,126,1
344,-695.0,500,0
345,-12.0,92,1
346,-750.0,500,0
347,-735.0,500,0
348,36.0,89,1
349,-150.0,225,1
350,16.0,89,1
351,-620.0,500,0
352,-120.0,215,1
353,-14.0,124,1
354,-84.0,179,1
355,-26.0,116,1
356,38.0,102,1
357,-650.0,500,0
358,-93.0,183,1
359,-620.0,500,0
360,-680.0,500,0
361,-620.0,500,0
362,-625.0,500,0
363,-116.0,206,1
364,-635.0,500,0
365,-680.0,500,0
366,-650.0,500,0
367,-730.0,500,0
368,32.0,93,1
369,-70.0,190,1
370,-36.0,141,1
371,-700.0,500,0
372,-705.0,500,0
373,-630.0,500,0
374,-8.0,93,1
375,-332.0,412,1
376,28.0,97,1
377,-394.0,409,1
378,-655.0,500,0
379,62.0,68,1
380,16.0,109,1
381,-180.0,225,1
382,-350.0,345,1
383,-710.0,500,0
384,-605.0,500,0
385,-240.0,285,1
386,-660.0,500,0
387,-4.0,134,1
388,-237.0,287,1
389,-680.0,500,0
390,22.0,108,1
391,-710.0,500,0
392,-620.0,500,0
393,-30.0,145,1
394,-210.0,265,1
395,-606.0,436,1
396,-630.0,500,0
397,-585.0,500,0
398,-278.0,313,1
399,88.0,57,1
400,-431.0,421,1
401,-820.0,500,0
402,-640.0,500,0
403,-130.0,185,1
404,-68.0,148,1
405,-108.0,173,1
406,-112.0,172,1
407,-28.0,133,1
408,-390.0,375,1
409,-12.0,132,1
410,-62.0,142,1
411,-620.0,500,0
412,-650.0,500,0
413,12.0,113,1
414,-88.0,183,1
415,-670.0,500,0
416,-4.0,124,1
417,-22.0,127,1
418,-297.0,332,1
419,-595.0,500,0
420,-775.0,500,0
421,-4.0,119,1
422,-4.0,124,1
423,-506.0,446,1
424,-625.0,500,0
425,-80.0,145,1
426,-76.0,161,1
427,-106.0,171,1
428,-32.0,132,1
429,-300.0,305,1
430,72.0,73,1
431,-114.0,204,1
432,-272.0,257,1
433,12.0,73,1
434,28.0,92,1
435,-745.0,500,0
436,-408.0,388,1
437,-660.0,500,0
438,-128.0,233,1
439,-16.0,116,1
440,-432.0,447,1
441,-720.0,500,0
442,-118.0,203,1
443,-334.0,374,1
444,-650.0,500,0
445,-466.0,431,1
446,-157.0,252,1
447,-239.0,204,1
448,-60.0,145,1
449,-110.0,185,1
450,-129.0,199,1
451,-675.0,500,0
452,18.0,107,1
453,-306.0,316,1
454,-204.0,249,1
455,-8.0,113,1
456,-705.0,500,0
457,-444.0,409,1
458,28.0,87,1
459,-266.0,271,1
460,-605.0,500,0
461,-665.0,500,0
462,-26.0,126,1
463,-328.0,368,1
464,42.0,68,1
465,-12.0,117,1
466,-44.0,134,1
467,-498.0,463,1
468,-444.0,369,1
469,42.0,88,1
470,-14.0,134,1
471,-403.0,348,1
472,-208.0,273,1
473,44.0,86,1
474,18.0,97,1
475,-760.0,500,0
476,-150.0,185,1
477,-248.0,263,1
478,-720.0,500,0
479,-690.0,500,0
480,52.0,73,1
481,38.0,77,1
482,-610.0,500,0
483,24.0,116,1
484,-334.0,364,1
485,-567.0,457,1
486,-675.0,500,0
487,-78.0,183,1
488,-5.0,85,1
489,-293.0,353,1
490,-494.0,449,1
491,-62.0,167,1
492,-720.0,500,0
493,-690.0,500,0
494,-406.0,391,1
495,-575.0,500,0
496,-615.0,500,0
497,34.0,86,1
498,-42.0,132,1
499,-680.0,500,0
500,-710.0,500,0
