Episode,Reward,Success,Steps,Wall_Hits,Penalty_Hits
1,-2032,0,500,108,14
2,-1332,0,500,65,13
3,-2127,0,500,70,37
4,-1810,0,500,116,14
5,-1754,0,500,95,21
6,-1649,0,500,96,15
7,-1779,0,500,105,15
8,-1868,0,500,152,0
9,-1691,0,500,91,17
10,-1515,0,500,82,12
11,-2532,0,500,97,61
12,-1683,0,500,107,9
13,-1743,0,500,104,11
14,-2704,0,500,171,35
15,-2153,0,500,136,20
16,-1575,0,500,85,6
17,-1952,0,500,98,30
18,-1583,0,500,76,21
19,-1801,0,500,115,14
20,-1751,0,500,82,27
21,-1760,0,500,86,23
22,-2260,0,500,112,37
23,-1954,0,500,90,21
24,-1765,0,500,111,14
25,-2011,0,500,78,40
26,-1750,0,500,80,15
27,-1630,0,500,115,5
28,-1736,0,500,93,21
29,-1581,0,500,99,10
30,-1875,0,500,83,15
31,-2093,0,500,58,28
32,-1397,1,451,56,26
33,-1497,0,500,77,16
34,-1848,0,500,116,16
35,-1082,1,368,80,5
36,-1469,0,500,76,15
37,-1708,0,500,111,11
38,-1586,0,500,108,6
39,-1910,0,500,80,26
40,-1610,0,500,79,21
41,-1827,0,500,68,17
42,-1519,0,500,90,11
43,-1580,0,500,53,24
44,-1376,0,500,91,3
45,-1996,0,500,92,30
46,-1477,0,500,82,10
47,-1921,0,500,77,28
48,-1422,0,500,75,13
49,-1600,0,500,99,11
50,-1531,0,500,75,11
51,-1884,0,500,101,25
52,-1489,0,500,77,13
53,-1402,1,396,104,9
54,-1500,0,500,83,3
55,-1441,0,500,78,10
56,-1171,0,500,64,5
57,-1393,0,500,79,7
58,-1517,0,500,75,18
59,-1495,0,500,81,14
60,-1419,0,500,62,19
61,-1418,0,500,60,7
62,-1280,1,421,75,15
63,-1398,0,500,66,16
64,-1399,0,500,83,8
65,-742,1,279,37,7
66,-1309,0,500,73,8
67,-2013,0,500,90,37
68,-2112,0,500,77,20
69,-1499,0,500,92,9
70,-1560,0,500,68,21
71,-1198,1,465,61,15
72,-1701,0,500,71,27
73,-1098,1,427,61,4
74,-783,1,287,41,12
75,-1457,0,500,84,8
76,-1470,0,500,58,21
77,-995,1,315,43,13
78,-1607,0,500,88,14
79,-1458,0,500,63,18
80,-2004,0,500,101,21
81,-1406,0,500,59,12
82,-351,1,205,19,4
83,-1397,0,500,64,4
84,-1376,0,500,53,21
85,-958,1,407,45,13
86,-1261,0,500,55,14
87,-1345,0,500,77,8
88,-1399,0,500,64,17
89,-1356,0,500,74,10
90,-1101,0,500,52,7
91,-1189,1,485,49,14
92,-1179,0,500,51,9
93,-1176,0,500,73,1
94,-1273,0,500,56,9
95,-1168,0,500,54,7
96,-2363,0,500,131,36
97,-1307,0,500,58,15
98,-1473,0,500,71,15
99,-1359,0,500,49,22
100,-2174,0,500,129,27
101,-1380,0,500,48,21
102,-1179,1,436,60,16
103,-2021,1,440,94,44
104,-1668,0,500,86,13
105,-1184,0,500,57,9
106,-618,1,225,38,8
107,-1258,0,500,61,11
108,-1253,0,500,71,6
109,-844,1,383,35,13
110,-1296,0,500,48,14
111,-1113,0,500,47,10
112,-1195,0,500,54,11
113,-1236,0,500,54,8
114,-1490,0,500,75,14
115,-1591,0,500,66,21
116,-892,1,376,58,5
117,-988,1,383,51,13
118,-315,1,176,14,6
119,-1096,0,500,43,11
120,-880,1,422,44,6
121,-1308,0,500,62,8
122,-559,1,308,18,10
123,-1409,0,500,82,9
124,-1081,0,500,54,5
125,-1175,0,500,56,9
126,-1383,0,500,61,15
127,-567,1,285,32,5
128,-1149,0,500,70,1
129,-1137,0,500,56,7
130,-1749,0,500,105,16
131,-1528,0,500,56,25
132,-1496,0,500,79,15
133,-1295,0,500,66,8
134,-1213,0,500,56,11
135,-1024,0,500,54,2
136,-985,1,473,47,10
137,-1120,0,500,52,8
138,-1070,0,500,44,4
139,-1671,0,500,74,24
140,-1254,1,494,54,12
141,-987,0,500,33,10
142,-1192,0,500,60,8
143,-1321,0,500,71,7
144,-1059,0,500,44,6
145,-1205,0,500,53,12
146,-1206,0,500,54,9
147,-1022,0,500,45,1
148,-953,0,500,44,3
149,-556,1,265,33,5
150,-1137,0,500,46,4
151,-1145,0,500,59,6
152,-1074,0,500,49,7
153,-1223,0,500,55,12
154,-1162,0,500,66,1
155,-1083,0,500,34,12
156,-596,1,245,27,11
157,-371,1,252,16,4
158,-1093,0,500,52,4
159,-184,1,117,9,2
160,-308,1,264,14,1
161,-838,1,414,36,8
162,-1093,0,500,52,4
163,-953,1,391,45,11
164,-1084,0,500,32,13
165,-500,1,317,21,5
166,-257,1,174,12,4
167,-990,0,500,46,4
168,-701,1,413,23,7
169,-1063,0,500,52,5
170,-758,1,375,23,12
171,-996,1,485,49,9
172,-823,1,366,46,5
173,-784,1,381,37,9
174,-1488,0,500,60,21
175,-1173,1,468,60,14
176,-1041,0,500,58,1
177,-972,0,500,44,4
178,-708,1,428,36,3
179,-539,1,297,17,10
180,-457,1,248,26,4
181,-1619,0,500,99,12
182,-994,0,500,38,8
183,-1347,0,500,73,10
184,-865,0,500,30,5
185,-1150,0,500,49,11
186,-504,1,312,22,5
187,-1171,0,500,35,11
188,-1247,0,500,48,14
189,-1032,0,500,38,10
190,-772,1,407,37,7
191,-1015,0,500,37,7
192,-565,1,272,22,0
193,-1898,0,500,130,12
194,-1277,0,500,61,12
195,-1089,0,500,57,4
196,-717,1,438,22,7
197,-752,1,374,20,8
198,-809,0,500,28,3
199,-1165,0,500,57,8
200,-354,1,270,10,5
201,-289,1,228,18,0
202,-422,1,302,14,5
203,-97,1,97,7,2
204,-943,0,500,45,2
205,-1507,0,500,69,10
206,-1072,0,500,53,5
207,-320,1,153,5,4
208,-1110,0,500,27,9
209,-1053,0,500,40,5
210,-876,0,500,27,7
211,-545,1,325,23,6
212,-839,0,500,25,6
213,-510,1,335,21,2
214,-884,1,430,26,4
215,-513,1,405,19,2
216,-1115,0,500,46,8
217,-998,0,500,36,4
218,-1058,0,500,46,5
219,-844,0,500,34,2
220,-936,0,500,40,4
221,-865,1,476,30,9
222,-508,1,286,12,1
223,-225,1,209,13,0
224,-816,0,500,33,1
225,-149,1,149,7,2
226,-815,0,500,35,0
227,-1000,0,500,26,14
228,-970,0,500,48,2
229,-681,1,463,27,4
230,-1064,0,500,34,11
231,-878,0,500,42,0
232,-676,1,437,23,7
233,-1047,0,500,46,7
234,-944,1,364,44,15
235,-1098,0,500,42,9
236,-473,1,270,22,3
237,-567,1,332,15,8
238,-1097,0,500,60,3
239,-1073,0,500,28,4
240,-950,0,500,34,5
241,-357,1,247,15,4
242,-1310,0,500,52,18
243,-954,0,500,42,4
244,-490,1,327,23,3
245,-249,1,220,6,4
246,-894,0,500,29,7
247,-1023,0,500,37,10
248,-1168,0,500,35,16
249,-1241,0,500,57,12
250,-723,1,396,24,6
251,-964,0,500,28,6
252,-1583,0,500,95,12
253,-826,0,500,32,2
254,-899,0,500,38,3
255,-984,0,500,39,7
256,-790,0,500,28,2
257,-313,1,185,17,4
258,-910,0,500,35,5
259,-933,0,500,30,6
260,-881,0,500,36,3
261,-950,0,500,34,5
262,-1016,0,500,32,12
263,-929,0,500,35,6
264,-906,0,500,43,1
265,-119,1,92,10,2
266,-643,1,452,24,4
267,-731,1,321,29,8
268,-936,0,500,27,5
269,-458,1,228,12,4
270,-1337,0,500,74,9
271,-1666,0,500,81,23
272,-916,0,500,42,2
273,-894,0,500,29,7
274,-197,1,188,8,2
275,-452,1,318,24,1
276,-857,0,500,27,6
277,-229,1,190,8,1
278,-879,0,500,21,10
279,-453,1,309,23,2
280,-1137,0,500,40,12
281,-990,0,500,30,9
282,-1084,0,500,48,8
283,-338,1,265,13,3
284,-1026,0,500,37,5
285,-1077,0,500,62,1
286,-140,1,177,5,1
287,-792,0,500,24,4
288,-870,0,500,20,10
289,-839,0,500,28,2
290,-763,0,500,25,2
291,-608,1,391,13,8
292,-782,0,500,25,3
293,-662,1,325,23,7
294,-400,1,334,8,5
295,-975,0,500,22,12
296,-820,0,500,25,5
297,-294,1,239,11,3
298,-752,0,500,28,0
299,-904,0,500,28,8
300,-482,1,393,19,1
