Episode,Rewards,Steps,Success
1,-1165.0,500,0
2,-910.0,500,0
3,-442.0,222,1
4,-650.0,295,1
5,-453.0,263,1
6,-1145.0,500,0
7,-1015.0,500,0
8,-860.0,500,0
9,-1035.0,500,0
10,-616.0,406,1
11,-733.0,278,1
12,-426.0,276,1
13,-818.0,453,1
14,-1030.0,500,0
15,-1100.0,500,0
16,-412.0,262,1
17,-1045.0,500,0
18,-596.0,341,1
19,-768.0,443,1
20,-1065.0,500,0
21,-955.0,500,0
22,-965.0,445,1
23,-765.0,500,0
24,-1020.0,500,0
25,-385.0,245,1
26,-880.0,500,0
27,-282.0,252,1
28,-1100.0,500,0
29,-955.0,500,0
30,-290.0,195,1
31,-980.0,500,0
32,-903.0,468,1
33,-844.0,414,1
34,-1130.0,500,0
35,-1040.0,485,1
36,-595.0,380,1
37,-679.0,359,1
38,-1015.0,500,0
39,-488.0,343,1
40,-870.0,500,0
41,-954.0,494,1
42,-1015.0,500,0
43,-915.0,500,0
44,-1175.0,500,0
45,-1030.0,500,0
46,-814.0,389,1
47,-608.0,348,1
48,-915.0,500,0
49,-384.0,329,1
50,-122.0,187,1
51,-785.0,500,0
52,-522.0,352,1
53,-569.0,434,1
54,-738.0,393,1
55,-920.0,500,0
56,-880.0,500,0
57,-915.0,500,0
58,-108.0,118,1
59,-560.0,405,1
60,-1035.0,500,0
61,-895.0,500,0
62,-668.0,448,1
63,-681.0,436,1
64,-755.0,500,0
65,-216.0,226,1
66,-566.0,376,1
67,-674.0,349,1
68,-770.0,500,0
69,-1010.0,500,0
70,-885.0,500,0
71,-180.0,190,1
72,-694.0,439,1
73,-122.0,132,1
74,-725.0,500,0
75,-260.0,235,1
76,-208.0,193,1
77,-970.0,500,0
78,-194.0,164,1
79,-880.0,500,0
80,-890.0,500,0
81,-1120.0,500,0
82,-750.0,500,0
83,-118.0,133,1
84,-718.0,403,1
85,-880.0,500,0
86,-1000.0,500,0
87,-616.0,491,1
88,-850.0,500,0
89,-108.0,148,1
90,54.0,76,1
91,-1055.0,500,0
92,-164.0,139,1
93,-650.0,455,1
94,-452.0,417,1
95,-358.0,353,1
96,-358.0,303,1
97,-620.0,500,0
98,10.0,95,1
99,-970.0,500,0
100,-990.0,500,0
101,-835.0,500,0
102,-182.0,192,1
103,-68.0,113,1
104,-700.0,500,0
105,-347.0,217,1
106,-232.0,267,1
107,-18.0,113,1
108,-511.0,346,1
109,-264.0,269,1
110,-404.0,289,1
111,-212.0,232,1
112,28.0,92,1
113,-60.0,145,1
114,-860.0,500,0
115,-855.0,500,0
116,-204.0,194,1
117,-795.0,500,0
118,-126.0,141,1
119,52.0,63,1
120,-850.0,500,0
121,-110.0,180,1
122,-188.0,213,1
123,-184.0,219,1
124,-152.0,167,1
125,-388.0,348,1
126,-748.0,443,1
127,-620.0,500,0
128,-28.0,113,1
129,-502.0,372,1
130,-480.0,395,1
131,-915.0,500,0
132,-695.0,500,0
133,-94.0,144,1
134,-515.0,315,1
135,-825.0,500,0
136,-324.0,269,1
137,-775.0,500,0
138,-190.0,235,1
139,-695.0,500,0
140,-270.0,205,1
141,-810.0,500,0
142,-452.0,372,1
143,-333.0,283,1
144,-426.0,346,1
145,-855.0,500,0
146,-126.0,196,1
147,-320.0,295,1
148,-412.0,347,1
149,-80.0,140,1
150,-910.0,500,0
151,-492.0,387,1
152,-196.0,156,1
153,-48.0,138,1
154,-538.0,413,1
155,-680.0,500,0
156,-408.0,338,1
157,-735.0,500,0
158,-112.0,127,1
159,-595.0,470,1
160,-94.0,154,1
161,-730.0,500,0
162,-202.0,192,1
163,-790.0,500,0
164,-520.0,425,1
165,-780.0,500,0
166,-308.0,238,1
167,-114.0,159,1
168,-860.0,500,0
169,-810.0,500,0
170,-324.0,324,1
171,-755.0,500,0
172,-268.0,293,1
173,-925.0,500,0
174,-775.0,500,0
175,-298.0,288,1
176,-477.0,347,1
177,-314.0,219,1
178,-276.0,281,1
179,-44.0,129,1
180,-314.0,244,1
181,-800.0,500,0
182,-270.0,205,1
183,-112.0,147,1
184,-790.0,500,0
185,-460.0,345,1
186,-14.0,114,1
187,-196.0,186,1
188,-44.0,149,1
189,-705.0,500,0
190,-730.0,500,0
191,-168.0,208,1
192,-152.0,172,1
193,-785.0,500,0
194,-232.0,227,1
195,32.0,83,1
196,-278.0,273,1
197,-322.0,317,1
198,-114.0,154,1
199,-802.0,497,1
