Episode,Rewards,Steps,Success
291,-206.0,251,1
292,-335.0,295,1
293,-495.0,430,1
294,62.0,78,1
295,-41.0,121,1
296,-36.0,116,1
297,-435.0,335,1
298,-68.0,153,1
299,-98.0,198,1
300,-427.0,412,1
301,-74.0,159,1
302,-382.0,367,1
303,-491.0,406,1
304,-130.0,205,1
305,-116.0,171,1
306,36.0,89,1
307,-755.0,500,0
308,-88.0,183,1
309,-710.0,500,0
310,52.0,68,1
311,-282.0,317,1
312,-348.0,358,1
313,-325.0,350,1
314,-675.0,500,0
315,-680.0,500,0
316,-6.0,101,1
317,-264.0,279,1
318,18.0,97,1
319,-690.0,500,0
320,-88.0,153,1
321,-740.0,500,0
322,32.0,83,1
323,22.0,103,1
324,-488.0,438,1
325,-665.0,500,0
326,-62.0,142,1
327,-106.0,191,1
328,-64.0,164,1
329,34.0,76,1
330,-655.0,500,0
331,-317.0,327,1
332,-78.0,148,1
333,-730.0,500,0
334,-660.0,500,0
335,-645.0,500,0
336,-451.0,421,1
337,34.0,101,1
338,70.0,60,1
339,54.0,71,1
340,-42.0,107,1
341,-800.0,500,0
342,-52.0,127,1
343,-6.0,116,1
344,-218.0,273,1
345,-110.0,140,1
346,36.0,94,1
347,-765.0,500,0
348,-700.0,500,0
349,18.0,107,1
350,54.0,76,1
351,-76.0,161,1
352,-40.0,165,1
353,10.0,115,1
354,34.0,86,1
355,-665.0,500,0
356,-166.0,231,1
357,-486.0,401,1
358,42.0,68,1
359,52.0,78,1
360,34.0,76,1
361,-264.0,294,1
362,-148.0,223,1
363,62.0,63,1
364,-705.0,500,0
365,-4.0,99,1
366,-625.0,500,0
367,74.0,71,1
368,-18.0,133,1
369,-43.0,93,1
370,-700.0,500,0
371,28.0,107,1
372,-620.0,500,0
373,32.0,78,1
374,-318.0,353,1
375,-34.0,129,1
376,-302.0,307,1
377,-6.0,121,1
378,-88.0,188,1
379,-730.0,500,0
380,40.0,85,1
381,-2.0,97,1
382,10.0,105,1
383,10.0,100,1
384,42.0,78,1
385,-42.0,137,1
386,-690.0,500,0
387,-620.0,500,0
388,44.0,81,1
389,-10.0,125,1
390,-116.0,201,1
391,-785.0,500,0
392,-300.0,225,1
393,88.0,57,1
394,-186.0,231,1
395,-735.0,500,0
396,-498.0,433,1
397,-106.0,211,1
398,-298.0,343,1
399,6.0,124,1
400,28.0,92,1
401,4.0,126,1
402,-258.0,283,1
403,-18.0,148,1
404,-615.0,500,0
405,-273.0,298,1
406,42.0,93,1
407,-615.0,500,0
408,-650.0,500,0
