Episode,Reward,Success,Steps,Wall_Hits,Penalty_Hits
231,-1190,1,429,81,7
232,-956,0,500,38,6
233,-891,0,500,35,4
234,-925,0,500,30,3
235,-649,1,339,23,3
236,-1115,0,500,62,3
237,-1121,0,500,37,10
238,-859,0,500,26,4
239,-1212,0,500,58,10
240,-908,0,500,39,3
241,-1230,0,500,41,19
242,-644,1,398,28,5
243,-924,0,500,45,1
244,-326,1,253,13,3
245,-1008,0,500,38,1
246,-1095,0,500,29,15
247,-940,0,500,35,4
248,-1170,0,500,34,14
249,-865,0,500,20,2
250,-880,0,500,38,2
251,-1078,0,500,60,2
252,-932,0,500,48,0
253,-706,1,460,28,5
254,-867,1,397,36,13
255,-48,1,103,3,1
256,-799,0,500,29,2
257,-910,0,500,35,5
258,-1104,0,500,46,10
259,-48,1,112,2,1
260,-696,1,416,26,0
261,-756,1,496,38,1
262,-291,1,255,11,2
263,-178,1,206,6,1
264,-928,0,500,37,5
265,-908,0,500,39,3
266,-233,1,206,10,2
267,-973,0,500,26,10
268,-1258,0,500,45,16
269,-1488,0,500,95,7
270,-1379,0,500,50,20
271,-911,0,500,36,2
272,-1191,0,500,62,7
273,-363,1,205,17,3
274,-956,0,500,22,11
275,-911,0,500,33,6
276,-792,0,500,24,4
277,-983,0,500,41,6
278,-889,0,500,39,2
279,-897,0,500,23,10
280,-1276,0,500,27,10
281,-998,0,500,33,8
282,-1055,0,500,33,11
283,-1018,0,500,37,2
284,-856,0,500,29,5
285,-991,0,500,25,14
286,-476,1,385,15,3
287,-949,0,500,36,4
288,-261,1,209,17,0
289,-1105,0,500,44,11
290,-1969,0,500,121,20
291,-1215,0,500,52,13
292,-145,1,165,9,0
293,-776,1,493,30,6
294,-1001,0,500,43,6
295,-399,1,336,14,2
296,-784,1,485,20,9
297,-981,0,500,45,4
298,-877,0,500,25,8
299,-502,1,366,20,3
300,-556,1,341,33,1
