Episode,Reward,Success,Steps,Wall_Hits,Penalty_Hits
1,-1842,0,500,83,21
2,-1579,0,500,103,8
3,-1997,0,500,90,31
4,-1970,0,500,112,14
5,-1296,0,500,80,4
6,-2002,0,500,137,9
7,-2279,0,500,130,14
8,-1768,0,500,124,8
9,-1404,0,500,79,5
10,-1572,0,500,85,11
11,-1562,0,500,99,9
12,-1472,0,500,108,0
13,-1422,0,500,94,4
14,-1673,0,500,76,18
15,-2151,0,500,118,31
16,-1883,0,500,103,24
17,-1853,0,500,106,21
18,-1732,0,500,104,13
19,-2045,0,500,105,29
20,-2220,0,500,98,8
21,-1451,0,500,74,15
22,-1716,0,500,114,10
23,-1482,0,500,72,15
24,-1442,0,500,79,7
25,-1236,0,500,67,7
26,-1570,0,500,73,14
27,-1236,0,500,70,3
28,-1808,0,500,101,21
29,-1451,0,500,74,15
30,-1437,0,500,83,10
31,-1579,0,500,67,7
32,-1860,0,500,85,21
33,-1625,0,500,83,7
34,-1433,0,500,78,7
35,-1587,0,500,87,16
36,-1453,0,500,76,9
37,-1818,0,500,103,18
38,-1464,0,500,89,6
39,-1556,0,500,92,12
40,-1500,0,500,61,16
41,-1586,0,500,89,15
42,-1498,0,500,78,13
43,-1414,0,500,91,5
44,-1366,0,500,76,7
45,-1419,0,500,71,7
46,-1628,0,500,100,12
47,-1427,0,500,84,9
48,-1025,1,444,64,3
49,-1204,0,500,58,7
50,-1457,0,500,68,13
51,-1339,0,500,89,2
52,-1307,0,500,64,7
53,-1479,0,500,78,12
54,-1386,0,500,64,6
55,-1346,0,500,59,14
56,-1103,0,500,48,9
57,-1311,0,500,69,10
58,-1059,0,500,47,2
59,-1510,0,500,73,16
60,-1347,0,500,66,3
61,-1347,0,500,92,1
62,-1022,1,393,79,1
63,-1270,0,500,43,15
64,-585,1,241,41,4
65,-1321,0,500,68,11
66,-1224,0,500,72,4
67,-1927,0,500,100,20
68,-1431,0,500,66,10
69,-1255,0,500,67,8
70,-1418,0,500,60,7
71,-1384,0,500,56,20
72,-1236,0,500,67,7
73,-1261,0,500,55,14
74,-1154,1,453,68,10
75,-1181,0,500,63,6
76,-1520,0,500,91,8
77,-1282,0,500,57,9
78,-1219,0,500,63,8
79,-1517,0,500,62,19
80,-1386,0,500,67,2
81,-1237,0,500,65,8
82,-1649,0,500,89,8
83,-1102,0,500,56,0
