Episode,Reward,Success,Steps,Wall_Hits,Penalty_Hits
230,-1069,0,500,43,7
231,-912,0,500,31,7
232,-153,1,133,5,4
233,-836,0,500,31,3
234,-353,1,231,10,7
235,-790,0,500,28,2
236,-363,1,233,13,6
237,-721,1,409,29,8
238,-971,0,500,46,3
239,-936,0,500,40,4
240,-446,1,337,17,3
241,-349,1,277,15,2
242,-1062,0,500,54,4
243,-1130,1,464,43,20
244,-1133,0,500,45,12
245,-1064,0,500,50,6
246,-1057,0,500,48,4
247,-472,1,280,22,5
248,-838,0,500,27,5
249,-891,0,500,35,4
250,-273,1,181,13,4
251,-1140,0,500,50,10
252,-528,1,342,18,4
253,-368,1,189,13,6
254,-457,1,271,15,8
255,-1092,0,500,38,8
256,-415,1,228,32,0
257,-908,0,500,39,3
258,-826,0,500,32,2
259,-131,1,167,3,2
260,-440,1,311,15,5
261,-1298,0,500,41,20
262,-561,1,273,23,7
263,-608,1,348,22,6
264,-828,0,500,28,4
265,-941,1,497,31,14
266,-920,0,500,34,6
267,-1417,0,500,47,26
268,-934,0,500,44,2
269,-864,0,500,32,4
270,-883,0,500,32,5
271,-75,1,104,8,0
272,-304,1,249,11,3
273,-1011,0,500,42,7
274,-624,1,423,23,5
275,-1326,0,500,61,12
276,-172,1,117,11,3
277,-878,0,500,42,0
278,-347,1,228,16,4
279,-261,1,252,8,2
280,-900,0,500,36,4
281,-455,1,329,21,2
282,-341,1,251,17,2
283,-1476,0,500,68,14
284,-968,0,500,33,9
285,-15,1,62,6,0
286,-289,1,253,11,2
287,-940,0,500,19,9
288,-770,0,500,30,0
289,-601,1,374,28,4
290,-821,0,500,23,6
291,-927,0,500,39,4
292,-723,1,438,26,8
293,-1026,0,500,31,13
294,-298,1,221,5,7
295,-858,0,500,25,7
296,-807,0,500,32,1
297,-396,1,334,16,1
298,-976,0,500,36,8
299,-782,0,500,25,3
300,-924,0,500,29,6
