Episode,Rewards,Steps,Success
1,-1025.0,500,0
2,-1080.0,500,0
3,-100.0,145,1
4,-482.0,347,1
5,-790.0,500,0
6,-40.0,115,1
7,-990.0,500,0
8,-1000.0,500,0
9,-975.0,500,0
10,-624.0,424,1
11,-606.0,391,1
12,-1055.0,500,0
13,-1045.0,500,0
14,-414.0,294,1
15,-805.0,500,0
16,-764.0,464,1
17,-1045.0,500,0
18,-90.0,135,1
19,-920.0,500,0
20,-895.0,500,0
21,-840.0,500,0
22,-584.0,359,1
23,-598.0,323,1
24,-202.0,152,1
25,-935.0,500,0
26,-362.0,262,1
27,-374.0,294,1
28,-910.0,500,0
29,-438.0,318,1
30,-422.0,332,1
31,-1010.0,500,0
32,-456.0,361,1
33,-604.0,419,1
34,-975.0,500,0
35,-780.0,500,0
36,-454.0,289,1
37,-498.0,388,1
38,-860.0,500,0
39,-312.0,267,1
40,-687.0,387,1
41,-905.0,500,0
42,-481.0,246,1
43,-330.0,230,1
44,-915.0,500,0
45,-170.0,160,1
46,-1090.0,500,0
47,-875.0,500,0
48,-290.0,220,1
49,-925.0,500,0
50,-905.0,500,0
51,-388.0,313,1
52,-527.0,412,1
53,-158.0,163,1
54,-102.0,117,1
55,-36.0,111,1
56,-382.0,307,1
57,-776.0,496,1
58,-516.0,361,1
59,-930.0,500,0
60,-925.0,500,0
61,-2.0,87,1
62,-915.0,500,0
63,-414.0,294,1
64,-625.0,460,1
65,-196.0,181,1
66,-462.0,402,1
67,-110.0,105,1
68,-1025.0,500,0
69,-835.0,500,0
70,-935.0,500,0
71,-825.0,500,0
72,-898.0,498,1
73,-646.0,456,1
74,-245.0,225,1
75,-724.0,374,1
76,-696.0,491,1
77,-825.0,500,0
78,-170.0,150,1
79,-895.0,500,0
80,-980.0,500,0
81,-790.0,500,0
82,-850.0,500,0
83,-970.0,500,0
84,-870.0,500,0
85,-816.0,481,1
86,-1050.0,500,0
87,-930.0,500,0
88,-264.0,269,1
89,-720.0,500,0
90,-62.0,97,1
91,-940.0,500,0
92,-540.0,405,1
93,-770.0,500,0
