Episode,QL_Rewards,SARSA_Rewards,QL_Steps,SARSA_Steps
185,-920.0,-860.0,500,500
186,-805.0,-720.0,500,500
187,-855.0,-740.0,500,500
188,-820.0,-960.0,500,500
189,-770.0,-820.0,500,500
190,-810.0,-830.0,500,500
191,-750.0,-800.0,500,500
192,-770.0,-272.0,500,182
193,-492.0,-670.0,372,500
194,-755.0,-930.0,500,500
195,-354.0,-960.0,284,500
196,-860.0,-372.0,500,347
197,-775.0,-855.0,500,500
198,-905.0,-875.0,500,500
199,-840.0,-850.0,500,500
200,-895.0,-790.0,500,500
201,-845.0,-760.0,500,500
202,-905.0,-845.0,500,500
203,-840.0,-815.0,500,500
204,-790.0,-730.0,500,500
205,-755.0,-780.0,500,500
206,-870.0,-770.0,500,500
207,-875.0,-875.0,500,500
208,-765.0,-845.0,500,500
209,-855.0,-825.0,500,500
210,-655.0,-670.0,500,500
211,-780.0,-825.0,500,500
212,-795.0,-870.0,500,500
213,-695.0,-820.0,500,500
214,-775.0,-905.0,500,500
215,-760.0,-900.0,500,500
216,-805.0,-850.0,500,500
217,-740.0,-760.0,500,500
218,-775.0,-835.0,500,500
219,-358.0,-356.0,328,331
220,-750.0,-760.0,500,500
221,-780.0,-785.0,500,500
222,-795.0,-895.0,500,500
223,-755.0,-180.0,500,170
224,-755.0,-830.0,500,500
225,-840.0,-715.0,500,500
226,-760.0,-402.0,500,267
227,-840.0,-725.0,500,500
228,-396.0,-790.0,376,500
229,-820.0,-825.0,500,500
230,-735.0,-785.0,500,500
231,-200.0,-538.0,230,418
232,-805.0,-710.0,500,500
233,-695.0,-705.0,500,500
234,-670.0,-920.0,500,500
235,-775.0,-790.0,500,500
236,-755.0,-840.0,500,500
237,-775.0,-870.0,500,500
238,-785.0,-640.0,500,500
239,-750.0,-755.0,500,500
240,-725.0,-194.0,500,194
241,-310.0,-735.0,310,500
242,-775.0,-840.0,500,500
243,-775.0,-930.0,500,500
244,-770.0,-546.0,500,286
245,-860.0,-515.0,500,395
246,-875.0,-730.0,500,500
247,-645.0,-925.0,500,500
248,-780.0,-690.0,500,500
249,-890.0,-845.0,500,500
250,-469.0,-785.0,404,500
251,-820.0,-835.0,500,500
252,-765.0,-835.0,500,500
253,-755.0,-429.0,500,314
254,-745.0,-176.0,500,156
255,-710.0,-805.0,500,500
256,-695.0,-480.0,500,395
257,-755.0,-805.0,500,500
258,-650.0,-382.0,500,322
259,-775.0,-770.0,500,500
260,-384.0,-835.0,344,500
261,-640.0,-810.0,500,500
262,-616.0,-820.0,436,500
263,-780.0,-665.0,500,500
264,-735.0,-630.0,500,500
265,-735.0,-710.0,500,500
266,-760.0,-765.0,500,500
267,-675.0,-680.0,500,500
268,-760.0,-815.0,500,500
269,-570.0,-690.0,500,500
270,-820.0,-805.0,500,500
271,-810.0,-390.0,500,395
272,-705.0,-94.0,500,154
273,-462.0,-775.0,422,500
274,-104.0,-755.0,164,500
275,-825.0,-710.0,500,500
276,-630.0,-790.0,500,500
277,-630.0,-264.0,500,274
278,-765.0,-725.0,500,500
279,-710.0,-715.0,500,500
280,-740.0,-840.0,500,500
281,-721.0,-690.0,476,500
282,-710.0,-444.0,500,444
283,-740.0,-715.0,500,500
284,-745.0,-715.0,500,500
285,-700.0,-685.0,500,500
286,-620.0,-815.0,500,500
287,-740.0,-795.0,500,500
288,-830.0,-540.0,500,370
289,-740.0,-785.0,500,500
290,-770.0,-835.0,500,500
291,-755.0,-580.0,500,500
292,-680.0,-760.0,500,500
293,-800.0,-720.0,500,500
294,-643.0,-50.0,493,140
295,-690.0,-118.0,500,188
296,-740.0,-760.0,500,500
297,-735.0,-680.0,500,500
298,-760.0,-308.0,500,298
299,-740.0,-815.0,500,500
300,-710.0,-388.0,500,348
301,-675.0,-650.0,500,500
302,-655.0,-174.0,500,214
303,-795.0,-790.0,500,500
304,-700.0,-765.0,500,500
305,-655.0,-770.0,500,500
306,-715.0,-680.0,500,500
307,-414.0,-356.0,329,386
308,-755.0,-670.0,500,500
309,-810.0,-521.0,500,426
310,-655.0,-700.0,500,500
311,-670.0,-586.0,500,486
312,-110.0,-670.0,160,500
313,-675.0,-780.0,500,500
314,-760.0,-735.0,500,500
315,-715.0,-840.0,500,500
316,-705.0,-62.0,500,162
317,-780.0,-705.0,500,500
318,-760.0,-875.0,500,500
319,-725.0,-630.0,500,500
320,-775.0,-546.0,500,396
321,-755.0,-312.0,500,282
322,-680.0,-805.0,500,500
323,-665.0,-765.0,500,500
324,-162.0,-650.0,212,500
325,-675.0,-336.0,500,386
326,-595.0,-640.0,500,500
327,-690.0,-620.0,500,500
328,-44.0,-670.0,144,500
329,-780.0,-470.0,500,395
330,-705.0,-645.0,500,500
331,-815.0,-60.0,500,130
332,-725.0,-690.0,500,500
333,-660.0,-650.0,500,500
334,-306.0,-340.0,316,310
335,-730.0,-476.0,500,446
336,-685.0,-585.0,500,500
337,-720.0,-665.0,500,500
338,-620.0,-72.0,500,147
339,-68.0,-650.0,168,500
340,-820.0,-94.0,500,154
341,-700.0,-625.0,500,500
342,-680.0,-780.0,500,500
343,-805.0,-645.0,500,500
344,-775.0,-102.0,500,192
345,-488.0,-394.0,448,419
346,-620.0,-745.0,500,500
347,-675.0,-660.0,500,500
348,-780.0,-810.0,500,500
349,-750.0,-700.0,500,500
350,-680.0,-248.0,500,253
351,-386.0,-705.0,341,500
352,-725.0,-208.0,500,218
353,-650.0,-615.0,500,500
354,-130.0,-288.0,200,283
355,-695.0,-50.0,500,130
356,-715.0,-324.0,500,274
357,-650.0,-700.0,500,500
358,-725.0,-314.0,500,334
359,-690.0,-800.0,500,500
360,-710.0,-825.0,500,500
361,-650.0,-665.0,500,500
362,-815.0,-685.0,500,500
363,-695.0,-262.0,500,322
364,-665.0,-172.0,500,232
365,-720.0,14.0,500,96
366,-750.0,-675.0,500,500
367,-725.0,-530.0,500,500
368,-640.0,-54.0,500,139
369,-720.0,-180.0,500,235
370,-800.0,-420.0,500,435
371,-416.0,-342.0,361,337
372,-560.0,-508.0,500,468
373,-705.0,-222.0,500,242
374,-645.0,-536.0,500,426
375,-660.0,-625.0,500,500
376,-780.0,-154.0,500,234
377,-442.0,-840.0,352,500
378,-765.0,-338.0,500,388
379,-775.0,-318.0,500,378
380,-469.0,-240.0,429,255
381,-705.0,-570.0,500,500
382,-690.0,-620.0,500,500
383,-595.0,-745.0,500,500
384,-705.0,-104.0,500,194
385,-675.0,-645.0,500,500
386,-795.0,-372.0,500,362
387,-625.0,-720.0,500,500
388,-48.0,-574.0,118,424
389,-645.0,-590.0,500,500
390,-740.0,-585.0,500,500
391,-548.0,-306.0,413,386
392,-198.0,-144.0,233,194
393,-720.0,-266.0,500,306
394,-316.0,-555.0,296,500
395,-330.0,-168.0,350,218
396,-740.0,-670.0,500,500
397,-685.0,-585.0,500,500
398,-466.0,-204.0,416,274
399,-680.0,-388.0,500,378
400,-580.0,-284.0,500,314
401,-562.0,-625.0,437,500
402,-655.0,-66.0,500,186
403,-690.0,-206.0,500,306
404,-510.0,-430.0,380,450
405,-560.0,-214.0,500,284
406,-650.0,-600.0,500,500
407,-214.0,-695.0,249,500
408,-765.0,-810.0,500,500
409,-680.0,-6.0,500,131
410,-700.0,-108.0,500,178
411,-510.0,-140.0,445,195
412,-765.0,-128.0,500,178
413,-685.0,-232.0,500,282
414,-725.0,-202.0,500,267
415,-695.0,-364.0,500,394
416,-615.0,-396.0,500,406
417,-630.0,-610.0,500,500
418,-260.0,-565.0,285,500
419,-514.0,-525.0,494,500
420,-670.0,-68.0,500,178
421,-760.0,-304.0,500,339
422,-725.0,-625.0,500,500
423,-675.0,-625.0,500,500
424,-590.0,-128.0,500,228
425,-625.0,-585.0,500,500
426,-640.0,-140.0,500,210
427,-695.0,-42.0,500,142
428,-745.0,-154.0,500,234
429,-610.0,-430.0,500,470
430,-483.0,-76.0,428,146
431,-650.0,-615.0,500,500
432,-256.0,-590.0,276,500
433,-579.0,-570.0,439,500
434,-645.0,-585.0,500,500
435,-680.0,-705.0,500,500
436,-605.0,-68.0,500,123
437,-592.0,-202.0,492,282
438,-685.0,-172.0,500,262
439,-695.0,-68.0,500,123
440,-710.0,-615.0,500,500
441,-557.0,-144.0,472,214
442,-665.0,46.0,500,84
443,-156.0,-875.0,206,500
444,-545.0,-780.0,500,500
445,-635.0,-26.0,500,146
446,-660.0,-566.0,500,496
447,-650.0,-560.0,500,500
448,-690.0,-124.0,500,179
449,-230.0,-665.0,260,500
450,-665.0,12.0,500,98
451,-760.0,-252.0,500,322
452,-730.0,-8.0,500,118
453,-142.0,-108.0,177,203
454,-645.0,4.0,500,131
455,-610.0,14.0,500,106
456,-735.0,-338.0,500,363
457,-630.0,-24.0,500,134
458,-700.0,22.0,500,83
459,-432.0,-392.0,477,382
460,-735.0,-124.0,500,194
461,-86.0,-90.0,196,170
462,-585.0,-518.0,500,478
463,-615.0,-138.0,500,203
464,-590.0,-224.0,500,294
465,-720.0,-610.0,500,500
466,-665.0,-76.0,500,156
467,-620.0,-204.0,500,274
468,-760.0,-24.0,500,134
469,-98.0,-550.0,148,500
470,-44.0,-615.0,124,500
471,-685.0,-560.0,500,500
472,28.0,-150.0,97,235
473,-214.0,-20.0,269,90
474,-533.0,-555.0,493,450
475,-650.0,-446.0,500,466
476,-705.0,-344.0,500,414
477,-670.0,34.0,500,96
478,-660.0,16.0,500,99
479,-705.0,-224.0,500,334
480,-416.0,-580.0,381,500
481,-478.0,-595.0,433,500
482,-740.0,-250.0,500,315
483,-595.0,-2.0,500,102
484,-655.0,-284.0,500,339
485,-820.0,-86.0,500,186
486,-715.0,-192.0,500,282
487,-645.0,-26.0,500,131
488,-690.0,-362.0,500,412
489,-605.0,-394.0,500,454
490,-625.0,6.0,500,94
491,-710.0,-645.0,500,500
492,-695.0,-620.0,500,500
493,-660.0,-148.0,500,238
494,-680.0,-416.0,500,461
495,-34.0,-308.0,124,348
496,-545.0,-24.0,500,134
497,-595.0,-50.0,500,155
498,-473.0,-675.0,438,500
499,-650.0,-52.0,500,147
500,-227.0,-610.0,217,500
