Episode,Reward,Success,Steps,Wall_Hits,Penalty_Hits
233,-913,0,500,29,8
234,-809,0,500,28,3
235,-786,1,432,40,5
236,-1083,0,500,34,12
237,-392,1,300,16,0
238,-947,0,500,37,6
239,-817,0,500,31,2
240,-241,1,225,13,0
241,-901,0,500,34,5
242,-654,1,500,22,3
243,-769,0,500,16,4
244,-247,1,249,11,0
245,-581,1,366,20,2
246,-788,1,456,20,3
247,-305,1,255,5,3
248,-366,1,257,17,3
249,-919,0,500,36,5
250,-174,1,184,8,1
251,-997,0,500,32,11
252,-498,1,302,20,1
253,-643,1,478,22,1
254,-833,0,500,18,9
255,-639,1,495,23,2
256,-445,1,375,19,0
257,-652,1,489,23,3
258,-155,1,166,10,0
259,-420,1,340,18,1
260,-540,1,476,12,3
261,-25,1,108,2,0
262,-822,0,500,21,7
263,-1037,0,500,31,11
264,-804,0,500,22,3
265,-885,0,500,18,4
266,-493,1,367,21,2
267,-23,1,88,4,0
268,-712,1,494,30,0
269,-904,0,500,28,8
270,-292,1,293,9,1
271,-259,1,252,12,0
272,-129,1,176,6,0
273,-346,1,291,11,3
274,-401,1,254,20,1
275,-361,1,253,19,2
276,-752,0,500,28,0
277,-878,0,500,23,9
278,-694,1,461,19,6
279,-131,1,131,7,2
280,-554,1,393,27,1
281,-143,1,172,8,0
282,-824,0,500,36,0
283,-738,0,500,18,4
284,-346,1,293,15,1
285,-933,0,500,27,10
286,-178,1,168,6,3
287,-853,0,500,22,3
288,-202,1,183,7,3
289,-333,1,254,20,0
290,-842,0,500,38,0
291,-238,1,230,10,1
292,-818,0,500,29,3
293,-953,0,500,15,9
294,-726,1,489,27,5
295,-694,0,500,14,1
296,-785,0,500,22,2
297,-313,1,297,13,0
298,-279,1,281,11,0
299,-156,1,175,7,1
300,-202,1,185,11,1
