Episode,Rewards,Steps,Success
285,-650.0,500,0
286,-144.0,204,1
287,-690.0,500,0
288,-705.0,500,0
289,-538.0,458,1
290,-266.0,281,1
291,-675.0,500,0
292,-726.0,491,1
293,-527.0,437,1
294,-342.0,352,1
295,-436.0,351,1
296,-680.0,500,0
297,-618.0,388,1
298,-700.0,500,0
299,-785.0,500,0
300,-975.0,500,0
301,-680.0,500,0
302,-740.0,495,1
303,-830.0,500,0
304,-328.0,293,1
305,-725.0,500,0
306,-551.0,441,1
307,-650.0,500,0
308,-770.0,500,0
309,-377.0,362,1
310,-715.0,500,0
311,-665.0,500,0
312,-130.0,175,1
313,-655.0,500,0
314,-705.0,500,0
315,-640.0,500,0
316,-282.0,322,1
317,-765.0,500,0
318,-790.0,500,0
319,-775.0,500,0
320,-620.0,500,0
321,-730.0,500,0
322,-299.0,279,1
323,-675.0,500,0
324,-514.0,439,1
325,-146.0,201,1
326,-352.0,282,1
327,-680.0,500,0
328,-665.0,500,0
329,-670.0,500,0
330,-112.0,162,1
331,-725.0,500,0
332,-830.0,500,0
333,-358.0,293,1
334,-669.0,469,1
335,-775.0,500,0
336,-750.0,500,0
337,-815.0,500,0
338,-745.0,500,0
339,-825.0,500,0
340,-590.0,500,0
341,-272.0,317,1
342,-554.0,489,1
343,-725.0,500,0
344,-785.0,500,0
345,-750.0,500,0
346,-775.0,500,0
347,-655.0,500,0
348,-765.0,500,0
349,-578.0,383,1
350,-650.0,500,0
351,-198.0,218,1
352,-750.0,500,0
353,-790.0,500,0
354,-790.0,500,0
355,-725.0,500,0
356,-640.0,500,0
357,-680.0,500,0
358,-730.0,500,0
359,-265.0,305,1
360,-542.0,457,1
361,-258.0,293,1
362,-710.0,500,0
363,-740.0,500,0
364,-402.0,337,1
365,-760.0,500,0
366,-740.0,500,0
367,-855.0,500,0
368,-160.0,205,1
369,-630.0,500,0
370,-715.0,500,0
371,-705.0,500,0
372,-88.0,168,1
373,-695.0,500,0
374,-750.0,500,0
375,-104.0,154,1
376,-710.0,500,0
377,-34.0,124,1
378,-753.0,493,1
379,-635.0,500,0
380,-740.0,500,0
381,-460.0,385,1
382,-568.0,473,1
383,-725.0,500,0
384,-519.0,429,1
385,-690.0,500,0
386,-206.0,261,1
387,-630.0,500,0
388,-310.0,285,1
389,-790.0,500,0
390,-286.0,266,1
391,-720.0,500,0
392,-533.0,383,1
393,-640.0,500,0
394,-645.0,500,0
395,-665.0,500,0
396,-448.0,348,1
397,-815.0,500,0
398,-402.0,357,1
399,-60.0,145,1
400,-412.0,397,1
401,-122.0,137,1
402,-664.0,479,1
403,-630.0,500,0
404,-32.0,117,1
405,-625.0,500,0
406,-188.0,233,1
407,-650.0,500,0
408,-208.0,233,1
409,2.0,113,1
410,-326.0,301,1
411,-690.0,500,0
412,-348.0,313,1
413,-730.0,500,0
414,-208.0,273,1
415,-532.0,447,1
416,-58.0,113,1
417,-406.0,386,1
418,-645.0,500,0
