Episode,Rewards,Steps,Success
1,-1105.0,500,0
2,-754.0,319,1
3,-1190.0,500,0
4,-1285.0,500,0
5,-1070.0,500,0
6,-1180.0,500,0
7,-1170.0,500,0
8,-1185.0,500,0
9,-1095.0,500,0
10,-1035.0,500,0
11,-1105.0,500,0
12,-1275.0,500,0
13,-1105.0,500,0
14,-800.0,385,1
15,-950.0,500,0
16,-638.0,418,1
17,-1025.0,500,0
18,-1115.0,500,0
19,-1220.0,500,0
20,-1275.0,500,0
21,-965.0,500,0
22,-1000.0,500,0
23,-1025.0,500,0
24,-1000.0,500,0
25,-1075.0,500,0
26,-1110.0,500,0
27,-975.0,500,0
28,-935.0,500,0
29,-930.0,500,0
30,-1075.0,500,0
31,-1145.0,500,0
32,-1055.0,500,0
33,-965.0,500,0
34,-985.0,500,0
35,-1000.0,500,0
36,-1075.0,500,0
37,-920.0,500,0
38,-995.0,500,0
39,-1015.0,500,0
40,-955.0,500,0
41,-780.0,500,0
42,-1085.0,500,0
43,-980.0,500,0
44,-1005.0,500,0
45,-970.0,500,0
46,-1105.0,500,0
47,-402.0,257,1
48,-1165.0,500,0
49,-930.0,500,0
50,-218.0,213,1
51,-148.0,148,1
52,-1075.0,500,0
53,-338.0,268,1
54,-870.0,500,0
55,-1025.0,500,0
56,-955.0,500,0
57,-680.0,465,1
58,-1095.0,500,0
59,-990.0,500,0
60,-985.0,500,0
61,-965.0,500,0
62,-895.0,500,0
63,-995.0,500,0
64,-718.0,393,1
65,-727.0,417,1
66,-865.0,500,0
67,-935.0,500,0
68,-940.0,500,0
69,-1000.0,500,0
70,-970.0,500,0
71,-920.0,500,0
72,-1030.0,500,0
73,-809.0,484,1
74,-458.0,353,1
75,-663.0,433,1
76,-915.0,500,0
77,-970.0,500,0
78,-975.0,500,0
79,-905.0,500,0
80,-820.0,500,0
81,-910.0,500,0
82,-980.0,500,0
83,-406.0,271,1
84,-805.0,500,0
85,-1015.0,500,0
86,-332.0,257,1
87,-970.0,500,0
88,-1045.0,500,0
89,-940.0,500,0
90,-280.0,205,1
91,-492.0,262,1
92,-880.0,500,0
93,-830.0,500,0
94,-356.0,311,1
95,-875.0,500,0
96,-870.0,500,0
97,-830.0,500,0
98,-1010.0,500,0
99,-925.0,500,0
100,-985.0,500,0
101,-574.0,429,1
102,-935.0,500,0
103,-860.0,500,0
104,-850.0,500,0
105,-860.0,500,0
106,-391.0,301,1
107,-970.0,500,0
108,-765.0,500,0
109,-548.0,383,1
110,-815.0,500,0
111,-900.0,500,0
112,-784.0,429,1
113,-805.0,500,0
114,-900.0,500,0
115,-740.0,500,0
116,-322.0,237,1
117,-775.0,500,0
118,-875.0,500,0
119,-572.0,362,1
120,-805.0,500,0
121,-508.0,358,1
122,-875.0,500,0
123,-825.0,500,0
124,-1050.0,500,0
125,-855.0,500,0
