Episode,Rewards,Steps,Success
347,-263,264,1
348,-92,151,1
349,-8,103,1
350,-132,146,1
351,-678,500,0
352,-164,160,1
353,-660,500,0
354,-24,101,1
355,-154,127,1
356,-706,500,0
357,-441,382,1
358,-879,500,0
359,-845,500,0
360,-230,253,1
361,-42,119,1
362,-112,162,1
363,-179,183,1
364,-716,500,0
365,-802,500,0
366,-655,500,0
367,-32,109,1
368,-94,135,1
369,-248,215,1
370,-816,500,0
371,-922,500,0
372,-254,277,1
373,-42,101,1
374,-641,500,0
375,-348,317,1
376,-575,488,1
377,-210,197,1
378,5,71,1
379,-623,429,1
380,-68,127,1
381,-45,103,1
382,-964,500,0
383,-135,157,1
384,-38,133,1
385,-805,500,0
386,-388,373,1
387,-655,500,0
388,-695,500,0
389,-177,190,1
390,-52,120,1
391,-759,500,0
392,-446,359,1
393,-180,183,1
394,-600,439,1
395,-244,213,1
396,-750,500,0
397,6,80,1
398,-174,165,1
399,-740,500,0
400,-379,320,1
401,-445,336,1
402,-589,413,1
403,-202,216,1
404,-738,469,1
405,-682,500,0
406,-288,255,1
407,-973,500,0
408,-562,381,1
409,-734,500,0
410,-791,500,0
411,-823,500,0
412,-395,333,1
413,-423,319,1
414,-844,500,0
415,-678,500,0
416,-690,500,0
417,-677,500,0
418,-312,261,1
419,-607,500,0
420,-551,500,0
421,-157,215,1
422,-350,391,1
423,-494,471,1
424,-252,293,1
425,-418,394,1
426,-642,500,0
427,-141,191,1
428,-762,500,0
429,-58,135,1
430,-759,500,0
431,-713,500,0
432,24,80,1
433,-617,442,1
434,-791,500,0
435,-744,500,0
436,-379,338,1
437,-1366,500,0
438,-153,175,1
439,-732,500,0
440,-747,500,0
441,-714,500,0
442,-90,149,1
443,-548,325,1
444,-408,413,1
445,-656,445,1
446,-59,90,1
447,-404,293,1
448,-28,114,1
449,-276,178,1
450,-768,500,0
451,-451,362,1
452,-762,500,0
453,-63,103,1
454,-60,146,1
455,-679,500,0
456,-342,320,1
457,-769,500,0
458,-815,500,0
459,-510,286,1
460,-875,500,0
461,-251,309,1
462,-797,500,0
463,-128,151,1
464,-85,152,1
465,-192,215,1
466,-669,500,0
467,-186,189,1
468,-524,374,1
469,-532,400,1
470,-128,151,1
471,-301,296,1
472,-401,333,1
473,-168,218,1
474,-180,221,1
475,-366,389,1
476,-88,183,1
477,-110,151,1
478,-260,319,1
479,-623,500,0
480,-4,90,1
481,-4,72,1
482,-82,159,1
483,-706,500,0
484,-807,500,0
485,-745,500,0
486,-697,500,0
487,-204,191,1
488,-232,271,1
489,-72,149,1
490,-38,88,1
491,-525,421,1
492,-1000,500,0
493,-84,143,1
494,-192,260,1
495,-443,375,1
496,-275,261,1
497,-50,127,1
498,-323,309,1
499,-18,95,1
500,-60,173,1
