Episode,Rewards,Steps,Success
1,-524.0,394,1
2,-890.0,500,0
3,-174.0,204,1
4,-850.0,500,0
5,-1050.0,500,0
6,-480.0,335,1
7,-318.0,253,1
8,-920.0,500,0
9,-639.0,439,1
10,-199.0,189,1
11,-900.0,500,0
12,-685.0,500,0
13,-156.0,141,1
14,-967.0,487,1
15,-995.0,500,0
16,-960.0,500,0
17,-810.0,500,0
18,-865.0,500,0
19,-821.0,461,1
20,-1135.0,500,0
21,-894.0,494,1
22,-880.0,500,0
23,-136.0,161,1
24,-420.0,340,1
25,-935.0,500,0
26,-254.0,194,1
27,-880.0,500,0
28,-416.0,331,1
29,-815.0,500,0
30,-112.0,117,1
31,-845.0,500,0
32,-491.0,366,1
33,-880.0,500,0
34,-392.0,362,1
35,-326.0,271,1
36,-850.0,500,0
37,-354.0,269,1
38,-342.0,277,1
39,-176.0,136,1
40,-220.0,180,1
41,-218.0,193,1
42,-106.0,166,1
43,-510.0,310,1
44,-705.0,445,1
45,-546.0,406,1
46,-654.0,409,1
47,-865.0,500,0
48,-190.0,220,1
49,-895.0,500,0
50,-187.0,217,1
51,-357.0,217,1
52,-224.0,164,1
53,-412.0,287,1
54,-318.0,258,1
55,-223.0,198,1
56,-284.0,249,1
57,-156.0,171,1
58,-418.0,298,1
59,-384.0,324,1
60,-790.0,500,0
61,-815.0,500,0
62,-765.0,500,0
63,-870.0,500,0
64,-815.0,500,0
65,-442.0,332,1
66,-90.0,130,1
67,-10.0,100,1
68,-224.0,224,1
69,-108.0,198,1
70,-222.0,217,1
71,-415.0,365,1
72,-788.0,458,1
73,-128.0,193,1
74,-552.0,457,1
75,-244.0,259,1
76,-935.0,500,0
77,-591.0,441,1
78,-344.0,229,1
79,-116.0,151,1
80,-456.0,346,1
81,-210.0,210,1
82,-8.0,98,1
83,-539.0,429,1
84,-188.0,238,1
85,-770.0,500,0
86,-100.0,105,1
87,-830.0,500,0
88,-336.0,256,1
89,-172.0,197,1
90,-780.0,500,0
91,-685.0,500,0
92,-697.0,482,1
93,-32.0,77,1
94,30.0,75,1
95,-446.0,301,1
96,-156.0,181,1
97,-303.0,198,1
98,-320.0,230,1
99,-412.0,337,1
100,-82.0,142,1
101,-146.0,166,1
102,-246.0,221,1
103,-136.0,161,1
104,-755.0,500,0
105,-316.0,206,1
106,-62.0,132,1
107,-760.0,500,0
108,-609.0,449,1
109,-240.0,265,1
110,-276.0,276,1
111,-234.0,269,1
112,28.0,92,1
113,-18.0,123,1
114,-395.0,285,1
115,-711.0,466,1
116,-262.0,257,1
117,-194.0,189,1
118,-94.0,159,1
119,-356.0,361,1
120,-176.0,231,1
121,-595.0,430,1
122,-40.0,135,1
123,-188.0,228,1
124,-82.0,142,1
125,-765.0,500,0
126,-725.0,500,0
127,-770.0,500,0
128,-144.0,204,1
129,-30.0,140,1
130,-725.0,500,0
131,-745.0,500,0
132,-186.0,186,1
133,-82.0,142,1
134,-186.0,161,1
135,-338.0,248,1
136,-370.0,315,1
137,-21.0,81,1
138,-234.0,229,1
139,-474.0,429,1
140,-221.0,186,1
141,-139.0,149,1
142,-44.0,89,1
143,-660.0,500,0
144,-750.0,500,0
145,-128.0,183,1
146,-760.0,500,0
147,-152.0,132,1
148,-134.0,169,1
149,-114.0,149,1
150,-785.0,500,0
151,-126.0,186,1
152,-231.0,196,1
153,-529.0,349,1
154,-174.0,214,1
155,-174.0,179,1
156,-182.0,177,1
157,-283.0,208,1
158,-775.0,500,0
159,-384.0,374,1
160,-142.0,207,1
161,-182.0,207,1
162,-670.0,500,0
163,-144.0,204,1
164,-46.0,86,1
165,-810.0,500,0
166,-238.0,243,1
167,-745.0,500,0
168,-725.0,500,0
169,-24.0,114,1
170,-584.0,429,1
171,-136.0,166,1
172,-118.0,178,1
173,-42.0,132,1
174,-642.0,487,1
175,-234.0,224,1
176,-30.0,135,1
177,-810.0,500,0
178,-205.0,205,1
179,-480.0,470,1
180,-118.0,218,1
181,-197.0,222,1
182,-82.0,182,1
183,-334.0,269,1
184,-68.0,133,1
185,-805.0,500,0
186,-46.0,106,1
187,-760.0,500,0
188,-386.0,331,1
189,-790.0,500,0
190,-655.0,500,0
191,40.0,90,1
192,-569.0,369,1
193,-304.0,269,1
194,-262.0,237,1
195,-48.0,108,1
196,-735.0,500,0
197,-56.0,156,1
198,-182.0,182,1
199,-670.0,500,0
200,-536.0,441,1
201,-725.0,500,0
202,8.0,107,1
203,-146.0,181,1
204,-257.0,232,1
205,-865.0,500,0
206,-760.0,500,0
207,-312.0,267,1
208,-715.0,500,0
209,-207.0,222,1
210,-700.0,500,0
211,-116.0,151,1
212,-76.0,151,1
213,-264.0,299,1
214,-686.0,491,1
215,-432.0,422,1
216,-202.0,292,1
217,-665.0,500,0
218,-202.0,257,1
219,-52.0,117,1
220,-294.0,324,1
221,-770.0,500,0
222,-56.0,106,1
223,-118.0,173,1
224,-134.0,179,1
225,-740.0,500,0
226,-32.0,122,1
227,-91.0,141,1
228,-498.0,478,1
229,-276.0,326,1
230,-710.0,500,0
231,-20.0,135,1
232,-735.0,500,0
233,-26.0,151,1
234,-132.0,182,1
235,-785.0,500,0
236,-720.0,500,0
237,-815.0,500,0
238,54.0,86,1
239,12.0,63,1
240,-12.0,117,1
241,-48.0,93,1
242,-84.0,109,1
243,-38.0,138,1
244,-6.0,101,1
245,-790.0,500,0
246,-549.0,449,1
247,-10.0,130,1
248,54.0,66,1
249,-384.0,339,1
250,-18.0,93,1
251,-388.0,343,1
252,-650.0,500,0
253,-198.0,258,1
254,-44.0,94,1
255,-96.0,166,1
256,-24.0,109,1
257,-750.0,500,0
258,30.0,85,1
259,-745.0,500,0
260,-625.0,500,0
261,-100.0,130,1
262,12.0,68,1
263,-745.0,500,0
264,36.0,84,1
265,-126.0,191,1
266,-62.0,162,1
267,-785.0,500,0
268,-296.0,331,1
269,-604.0,489,1
270,-745.0,500,0
271,-126.0,191,1
272,-695.0,500,0
273,-735.0,500,0
274,-98.0,178,1
275,-543.0,438,1
276,-690.0,500,0
277,-232.0,277,1
278,-30.0,135,1
279,-68.0,138,1
280,-118.0,158,1
